generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
238000,species1,species3,0,0.011129,0.000667938,0.00284393,0
239000,species1,species3,0,0.0113852,0.000667938,0.00104575,0
240000,species1,species3,0,0.0112217,0.000424562,0.00233362,0
240000,species3,NA,236.977,0.0139589,-0.000965957,0.0445917,0
241000,species1,species3,0,0.00903401,0.000424562,6.79529e-05,0
241000,species3,NA,67.2726,0.0246156,-0.00348727,0.0272368,0
241000,species18,NA,329.158,0.23032,0.00368908,0.0256959,0
241000,species15,species70,316.125,0.0226866,0.00185577,0.0181398,0
241000,species27,species56,240.467,0.00782323,-0.000404157,0.0291375,0
242000,species1,species3,0,0.0125451,0.000424562,0.00472597,0
242000,species28,NA,250.716,0.00681419,0.000965028,0.025541,0
242000,species38,NA,317.332,0.003914,-0.00183415,0.0358563,0
243000,species1,species3,0,0.0120541,0.000652123,0.00484457,0
244000,species1,species3,0,0.0118544,0.000889599,0.00757522,0
245000,species1,species3,0,0.00941802,0.000889599,0.000441543,0
246000,species1,species3,0,0.00806145,0.00078385,0.00250907,0
246000,species24,NA,314.493,0.0171631,0.0005115,0.0228994,0
247000,species1,species3,0,0.0153259,0.000287496,0.0115883,0
248000,species1,species3,0,0.0126373,0.000287496,0.00285432,0
248000,species3,NA,141.784,0.0235508,-0.0031275,0.0634165,0
249000,species1,species3,0,0.0143969,-0.000561269,0.00198759,0
250000,species1,species3,0,0.00963746,0.000466344,0.0015167,0
251000,species1,species3,0,0.00786156,0.0027138,0.00056878,0
252000,species1,species3,0,0.0438682,-0.00262282,0.0170365,0
253000,species1,species3,0,0.0226229,-0.00238433,0.00770714,0
254000,species1,species3,0,0.0209835,-0.00233286,0.00258015,0
255000,species1,species3,0,0.0223125,-0.00238126,0.00599443,0
256000,species1,species3,0,0.0210676,-0.00255999,0.00245281,0
257000,species1,species3,0,0.0325341,-0.0033081,0.0124006,0
258000,species1,species3,0,0.0262196,-0.00205896,0.00898979,0
258000,species3,NA,196.401,0.00402884,-0.00156191,0.0503887,0
259000,species1,species3,0,0.0212304,-0.00200377,0.00471931,0
